Partner ID,PQP Feb 25
184379,Sin PQP
177564,Sin PQP
139761,Sin PQP
229108,Sin PQP
289949,Sin PQP
177646,Sin PQP
191688,Sin PQP
299168,Sin PQP
177612,Sin PQP
184380,Sin PQP
177614,Sin PQP
161839,Sin PQP
177613,Sin PQP
177616,Sin PQP
270554,Sin PQP
300913,Sin PQP
242128,Sin PQP
191965,Sin PQP
202043,Sin PQP
191967,Sin PQP
343805,Sin PQP
298399,Sin PQP
241909,Sin PQP
352890,Sin PQP
505768,Javier Peñaloza KA
300048,Sin PQP
329728,Sin PQP
128743,Javier Peñaloza KA
493918,Javier Peñaloza KA
301347,Sin PQP
101316,Franco Lagos Tier
478699,Javier Peñaloza KA
229434,Javier Peñaloza KA
340311,Sin PQP
48737,Franco Lagos Tier
377334,Javier Peñaloza KA
65501,Javier Peñaloza KA
65827,Javier Peñaloza KA
108409,Sin PQP
112822,Javier Peñaloza KA
161876,Franco Lagos KA
329417,Franco Lagos Tier
299049,Franco Lagos KA
478196,Javier Peñaloza KA
66391,Javier Peñaloza KA
65500,Javier Peñaloza KA
506070,Javier Peñaloza KA
88318,Javier Peñaloza KA
68229,Sin PQP
484236,Franco Lagos KA
262169,Javier Peñaloza KA
108907,Sin PQP
177055,Franco Lagos Tier
341835,Javier Peñaloza KA
104501,Javier Peñaloza KA
65459,Javier Peñaloza KA
161827,Franco Lagos KA
66489,Javier Peñaloza KA
121666,Franco Lagos KA
142340,Franco Lagos KA
177378,Sin PQP
329416,Franco Lagos Tier
41618,Sin PQP
67270,Franco Lagos Tier
102217,Javier Peñaloza KA
473475,Franco Lagos KA
67557,Javier Peñaloza KA
133596,Javier Peñaloza KA
106865,Javier Peñaloza KA
130023,Franco Lagos KA
437704,Franco Lagos KA
233492,Franco Lagos KA
439862,Javier Peñaloza KA
383649,Franco Lagos KA
222103,Sin PQP
371717,Javier Peñaloza KA
109414,Sin PQP
66488,Javier Peñaloza KA
91052,Sin PQP
161822,Franco Lagos KA
531058,Franco Lagos KA
62284,Javier Peñaloza KA
474903,Javier Peñaloza KA
320346,Franco Lagos KA
377057,Franco Lagos Tier
176861,Franco Lagos Tier
472324,Javier Peñaloza KA
434793,Sin PQP
201294,Sin PQP
65828,Javier Peñaloza KA
105573,Franco Lagos KA
491805,Franco Lagos KA
425859,Javier Peñaloza KA
493417,Franco Lagos KA
343250,Javier Peñaloza KA
156305,Franco Lagos KA
449793,Franco Lagos KA
119796,Sin PQP
134018,Sin PQP
58458,Javier Peñaloza KA
346335,Sin PQP
137262,Javier Peñaloza KA
205392,Javier Peñaloza KA
519648,Javier Peñaloza KA
159506,Sin PQP
110939,Sin PQP
128581,Franco Lagos KA
311955,Franco Lagos KA
