Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
426902,Happy Days Waffles  - Courier,,Mall Plaza Calama,Calama,Calama,null
315316,Subway Calama - Courier,Subway,Mall Plaza Calama,Calama,Calama,null
105139,Buffet Express Calama,Buffet Express,Mall Plaza Calama,Calama,Calama,null
105573,Wendy's Calama,Wendy's,Mall Plaza Calama,Calama,Calama,josefina sarquis
106865,Tarragona Mall Plaza Calama,Tarragona,Mall Plaza Calama,Calama,Calama,nicole bustamante
109257,Telepizza Calama 2,Telepizza,Mall Plaza Calama,Calama,Calama,javier peñaloza
130120,Juan Maestro Mall Plaza Calama,Juan Maestro,Mall Plaza Calama,Calama,Calama,nicole bustamante
130121,Doggis Mall Plaza Calama,Doggis,Mall Plaza Calama,Calama,Calama,nicole bustamante
161827,KFC Calama,KFC,Mall Plaza Calama,Calama,Calama,josefina sarquis
380188,Pedro Juan Y Diego Calama,"Pedro, Juan y Diego",Mall Plaza Calama,Calama,Calama,josefina sarquis
435180,Pizza Hut Calama - Courier,Pizza Hut,Mall Plaza Calama,Calama,Calama,null
474807,Burger King® - Mall Plaza Calama,Burger King,Mall Plaza Calama,Calama,Calama,javier peñaloza
475450,Tommy Beans Mall Plaza Calama,Tommy Beans,Mall Plaza Calama,Calama,Calama,nicole bustamante
100566,Nipponn,Nipponn,Mall Plaza Calama,Calama,Calama,franco lagos tier
101169,Bariloche- Calama,Bariloche,Mall Plaza Calama,Calama,Calama,franco lagos tier
182061,Yogen Früz - Calama,Yogen Fruz,Mall Plaza Calama,Calama,Calama,null
101006,Empanadas Florencia,Empanadas Florencia,Mall Plaza Calama,Calama,Calama,franco lagos tier
128967,Dunkin' Mall Plaza Calama,Dunkin Donuts,Mall Plaza Calama,Calama,Calama,javier peñaloza
133718,Dunkin' Mall Plaza Calama - Café,Dunkin Donuts,Mall Plaza Calama,Calama,Calama,javier peñaloza
344430,Cream Roll,,Mall Plaza Calama,Calama,Calama,franco lagos lt
205496,Bariloche Calama,,Mall Plaza Calama,Calama,Calama,null
